"","Lessives.LVLb","Deodorants.ICOS1","EauDeToilette.ICOS2","ProdSoinCheveux.ICOS3","ProdSoinVisage.ICOS4","VernisOngleDissolv.ICOS5","NbPieceAvecProduitsChim.NQ142","NettoyantDeSurface.QPE1b","AutreNettoyants.QPE2b","DesodoAreosolVaporisateur.QPD1b","DesodoAutreEnsens.QPD2b","InsecticideAerosol.QPP1b","InsecticidePoudreBlocGel.QPP2b","NettoySolAspiration.QME1b","NettoySolBalaiSerp.QME2b","NettoyAutreQueSol.QME3b","CuissonFourTraditionnel.CUI1b","CuissonALeau.CUI2b","CuissonALaVapeur.CUI3b","CuissonParFriture.CUI4b","CuissonParGrillade.CUI5b","VoitureDansGarage.DGG3n","Fumeurs.FUMEURn","SechageLingeDansLogement.LVSBn","UtiliseSecheLinge.LVS4n","NettASecVetements.QNS1","PersExtPourMenage.AMN1n","TapisDescenteLitNeuf.QTA1n","NettASecTapisTissusmeuble.QTARIn","Plantes.QPV","Chiens.ANI21n","Chats.ANI22n","TraitementParasitesAnimaux.ANTCPn","HamsterCochonLapin.ANI25n","InsecticideBlatteFourmie.ULn","SortirOrduresExterieur.QOM1","OrduresDansPiece.QOM2n","EndroitStockageOrdures.QOM4","Bricolage.TMG6n","Jardinage.TMG7n","ProtMatelSimple.LIMHO0","ProtMatelImperm.LIMHO13","ProtMatelAntiAcariens.LIMHO23","ProtMatel.LIMHO4","NPVe1","HPRF","HSRF","MATER2","NIACe1","NSQ41e1","NSQ31e1","TMM1e1","TMM2e1","TMM3e1","TMMB1e1","TMMB2e1","TMMB3e1","TRM0e1","TRM1e1","TRM2e1","TRM3e1","TRM4e1","TRM5e1","TRM7e1","TRP0e1","TRP1e1","TRP2e1","TRP3e1","TRP5e1","TRS1e1","TRS2e1","TRS3e1","TRS4e1","TRS5e1","TRS6e1","TRS8e1","ACTP1","CHEM1","DBRI","DCA3e1","DGG2be1","FC316","FC812","FC9be11","FC9be12347","FC9be156","HCU11","HCU31","HCU323","HCU34","HPLBO","KCC1be1089","KCC1be11","KCC1be1234","KCC1be1567","KCC1be1555","KCC267","KCC34","KCC5","KEIU1","KEIU2","KVNT2e111","KVNT2e13","KVNT2e14","MATER017","MATER02","MATER03","MATER04","MATER056","REAB1","REAB23","REAB4","Age","Revenus","Nb_Person","Nb_Enfants_inf_10","Nb_Enfants_sup_10","Sexe","Diplome_Max","Type_Prof","Occupation","Source_ppale_Res","Structure_menage","cluster.ind","Formldéhyde"
"1",0,10.5,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,"4","3","1","6","3","1","1","1","1","1","1","3","1","2","1","2","2","1","1","1","1","1","2",1,300,12,1,1914,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"1","3","3","3","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","1","2","1","1","2","1","1","1","1","1",43,817,2,0,0,"2","1","6","1","1","3",2,12.26
"2",3.5,14,14,1,7,0.5,0,7,3.5,3.5,0,3.5,0,1,3.5,1,0,3.5,0,1,3.5,"4","2","2","5","3","1","1","1","2","1","2","1","1","2","1","2","3","1","1","1","1","1","1",4,280,70,1,1961,0,0,1,0,0,0,0.25,0.75,0,0.25,0,0.25,0,0.5,0,0,0,0,1,0,0,0,0.25,0,0.75,0,0,2,"1","3","3","3","1","2","1","1","1","2","2","1","1","1","1","2","1","1","1","2","1","1","1","2","1","1","1","1","1","2","1","1","2","1","2",42,2349,2,0,1,"1","7","4","1","1","2",2,10.17
"3",1.5,7,7,0,7,0,0,0,0,0,0,0,0,0,1,0,0,3.5,0,3.5,0,"4","1","1","5","3","1","1","1","1","1","1","3","1","1","1","2","2","1","1","1","1","1","1",3,250,40,1,1914,0,0,0,1,0,0,0.67,0.33,0,0.67,0,0,0,0.33,0,0,0,0,1,0,0,0,1,0,0,0,0,2,"1","3","3","3","1","1","1","1","2","2","2","1","1","1","2","1","1","1","1","1","2","1","1","2","1","1","1","1","1","2","1","1","2","1","2",36,1299,1,0,0,"2","8","5","1","1","1",2,21.55
"4",1.5,7,10.5,0.5,1,0,1,3.5,0,0,14,0,0,3.5,3.5,3.5,0,3.5,0,0,3.5,"4","3","2","5","3","1","1","1","2","1","2","2","1","2","2","2","1","2","1","1","1","1","2",2,320,38,1,1914,2,0,1,0,0,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.5,0.5,0,0,0,1,"1","3","2","3","1","1","1","2","1","2","1","1","2","2","1","1","1","1","2","1","1","1","1","2","1","2","1","1","1","1","1","2","1","2","1",30,2349,2,0,0,"2","5","4","1","1","3",2,13.93
"5",3.5,0,1,0.5,7,1,1,1,0,0,0,0,0,3.5,3.5,0,0,3.5,0,0,3.5,"4","1","2","2","2","1","2","1","1","1","1","3","1","1","1","2","1","3","3","1","1","1","1",4,240,75,1,1967,1,0,1,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,"1","3","3","3","1","1","1","1","2","2","1","1","2","1","2","1","1","1","1","1","2","1","1","2","1","2","1","1","1","2","1","1","2","1","2",43,4249,3,2,0,"1","9","3","1","1","2",2,11.03
"6",7,14,4,14,7,3.5,1,3.5,3.5,1,0,0,0,1,3.5,0,3.5,3.5,3.5,0,0,"4","1","2","5","3","1","1","1","2","1","2","1","1","1","1","2","3","1","1","1","1","1","1",5,240,75,1,1961,0,0,0.6,0.4,0,0.4,0.2,0.4,0,0.8,0,0,0,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,"1","3","2","3","1","1","2","1","1","2","2","1","1","1","1","2","1","1","1","2","1","1","1","2","2","1","1","1","1","2","1","1","1","1","1",51,817,2,0,1,"1","1","5","1","1","2",2,17.12
"7",7,14,10.5,10.5,7,0,0,7,1,7,7,0,14,7,0,7,0,3.5,0,0,3.5,"4","2","2","1","3","1","1","1","2","1","1","3","1","2","1","2","3","4","1","1","1","1","2",2,240,50,1,1974,0,0,1,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,"1","3","2","3","1","1","1","1","2","1","1","1","2","1","1","1","2","1","1","2","1","1","1","2","2","1","1","1","1","2","1","1","2","1","2",38,817,3,1,0,"2","4","6","1","1","3",2,16.99
"8",1.5,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"4","1","1","5","3","1","1","1","1","1","1","3","1","1","1","2","2","1","1","1","2","2","1",2,250,35,1,1948,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"1","3","3","3","1","1","1","1","2","2","1","1","2","1","1","1","1","1","2","1","1","1","1","2","1","2","1","1","1","1","1","2","1","1","1",49,817,1,0,0,"2","1","6","1","1","1",2,11.8
"9",1.5,7,7,3.5,7,1,0,1,3.5,3.5,0,0,0,0,3.5,1,1,0,3.5,0,0,"4","1","2","5","3","1","1","1","1","1","1","3","1","1","2","2","3","1","1","1","1","1","1",2,250,27,1,1948,1,0,1,0,0,0,1,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"1","3","3","3","1","1","1","2","1","2","1","1","2","1","1","1","2","1","1","2","1","1","2","2","1","1","2","1","1","2","1","1","2","1","2",22,817,1,0,0,"1","8","7","3","5","1",2,11.99
"10",7,35,35,1,35,0,0,1,0,1,0,0,0,1,7,1,0,0,3.5,3.5,0,"4","3","2","5","3","1","1","1","1","1","1","3","1","2","1","2","2","1","1","1","1","1","1",6,250,80,1,1967,0,0,1,0,0,0,0.33,0.17,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,"1","3","2","3","1","1","2","1","1","2","1","1","2","1","1","1","2","1","1","2","1","1","2","2","1","1","2","1","1","2","1","1","1","1","1",31,1799,5,0,0,"1","1","5","5","1","4",2,23.85
"11",3.5,14,0,0.5,7,0,1,1,0,14,1,0,0,3.5,1,1,1,3.5,0,1,1,"4","1","1","5","3","1","1","1","3","1","1","3","1","1","1","2","3","5","1","1","1","1","1",4,240,88,1,1981,0,0,0,0,1,0.25,0.25,0.5,0,1,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0.5,0,0,0,0,2,"1","3","2","2","1","1","1","1","2","2","1","1","2","1","2","1","1","1","1","2","1","1","1","2","1","1","1","1","1","2","1","1","2","1","2",65,1799,2,0,0,"2","6","4","4","3","3",2,10.09
"12",1.5,7,3.5,0.5,10.5,0,0,0,0,0,0,0,0,1,1,0,3.5,3.5,0,0,3.5,"4","3","2","5","2","2","1","2","1","1","1","3","1","1","1","2","2","1","1","1","1","1","1",3,230,120,1,1995,0,0,0,1,0,0.33,0.33,0.33,0.33,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0.33,0.67,0,0,0,2,"1","3","2","3","1","2","1","1","1","1","2","1","1","1","2","1","1","1","1","1","2","1","1","2","2","1","1","1","1","2","1","1","1","1","1",68,4249,2,0,0,"2","9","3","4","3","3",2,23.3
"13",7,0,1,0,7,0,0,1,0,0,7,0,0,0,7,1,0,0,7,0,0,"4","1","1","5","2","1","1","1","1","1","1","3","1","1","1","2","3","1","1","1","1","1","1",3,230,30,1,1995,0,0,0,1,0,0,1,0,0,0,0,0.33,0,0.67,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"1","3","3","3","1","1","1","1","2","2","2","1","1","1","2","1","1","1","1","1","2","1","2","2","2","1","1","1","1","2","1","1","2","1","2",63,2899,1,0,0,"2","9","3","4","3","1",2,17.26
"14",3.5,7,14,1,7,0,1,3.5,0,7,3.5,0,0,3.5,3.5,0,3.5,3.5,0,1,1,"4","2","1","5","3","1","1","1","2","1","1","3","1","1","2","2","4","1","1","1","1","1","2",5,240,74,1,1961,1,0,0,1,0,0.4,0.4,0.2,0,0.2,0,0,0,0.8,0,0,0,0,0.8,0,0,0,1,0,0,0,0,2,"1","3","2","3","1","1","2","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","2","1","1","2","1","1","1","2","1","1","2","1","2",37,1799,4,2,0,"2","5","5","1","1","3",2,15.16
"15",7,7,8,0.5,7,0,0,0,0,0,0,0,0,1,0,0,3.5,0,7,0,0,"4","3","1","5","3","1","1","1","2","1","1","3","1","1","2","2","1","4","2","1","1","1","1",4,400,120,1,1914,0,0,1,0,0,0.5,0.25,0,0,0,0,0,0,0.75,0,0.25,0,0,0.5,0,0,0.25,0.5,0,0,0,0,1,"2","2","1","3","2","2","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","1","1","1","1","1","1","1","2","1","2","1",57,2899,3,0,1,"2","9","2","1","2","3",4,5.05
"16",3.5,14,7,1,7,0.5,1,3.5,3.5,0,14,1,3.5,0,7,0,1,3.5,0,0,1,"4","1","1","5","3","1","1","1","1","1","1","3","1","1","1","2","3","3","1","1","1","1","1",3,240,49,1,1981,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"1","2","2","3","1","2","1","1","1","2","1","2","1","1","2","1","1","1","1","1","2","1","1","2","2","1","1","2","1","1","1","1","2","1","2",48,2899,2,0,0,"2","2","5","1","1","3",4,31.88
"17",1.5,7,10.5,0,14,1,0,3.5,1,7,0,0,0,1,3.5,1,1,7,7,0,0,"4","1","2","5","3","1","1","1","1","1","1","3","1","1","2","2","1","3","1","1","1","1","1",4,240,80,1,1989,0,0,0,0,1,0.75,0.25,0,0.25,0.25,0.5,0,0,0,0,0,0,0,0.75,0.25,0,0,1,0,0,0,0,1,"1","2","3","2","1","2","1","1","1","2","2","1","1","1","2","1","1","1","1","1","2","1","1","2","1","2","1","1","1","1","2","1","2","1","2",68,2899,2,0,0,"2","2","3","4","3","3",2,13.3
"18",3.5,7,8,3.5,7,0,0,3.5,0,7,3.5,0,0,0,3.5,7,7,3.5,3.5,0,0,"4","1","2","5","3","1","1","1","2","2","1","2","1","1","1","2","3","2","1","1","1","1","2",2,240,44,1,2002,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"1","2","3","2","1","2","1","1","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","2","2","1","1","1","1","2","1","1","1","1","1",67,1799,2,0,0,"2","8","4","4","3","3",2,4.05
"19",7,21,14,1,21,1.5,1,7,7,7,0,0,0,3.5,7,0,3.5,3.5,0,0,0,"4","1","1","2","3","1","1","1","2","2","2","1","2","1","1","2","1","1","4","2","2","1","1",5,230,98,1,2002,0,0,0,1,0,0,0.4,0.6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"1","2","3","3","1","1","1","2","1","2","2","1","1","1","1","1","2","1","1","1","1","2","2","1","2","1","1","1","1","2","1","1","1","1","1",49,1799,4,1,2,"2","3","5","1","1","2",3,20.14
"20",3.5,21,14,1,10.5,0,1,3.5,1,3.5,14,0,0,3.5,3.5,3.5,3.5,3.5,3.5,0,3.5,"4","1","2","5","3","1","1","1","3","2","1","2","1","1","1","2","4","1","1","2","2","1","1",4,250,70,1,1974,1,0,1,0,0,0,0.5,0.5,0,0.75,0,0.25,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,1,"1","3","3","3","1","2","1","1","1","2","2","1","1","1","1","2","1","1","1","2","1","1","2","2","1","2","1","1","1","2","1","1","2","1","2",45,1799,3,0,1,"2","4","6","1","1","3",2,29.36
"21",7,7,7,7,7,0.5,0,3.5,0,0,14,0,3.5,3.5,3.5,1,0,3.5,0,3.5,1,"4","2","1","5","3","1","2","1","3","1","1","3","1","1","1","2","2","3","4","1","1","1","2",5,240,90,1,1967,0,0,0,1,0,0.2,0.6,0.2,0,0.6,0,0.2,0,0.2,0,0,0.2,0,0.8,0,0.2,0,0.8,0,0,0,0,1,"1","3","2","3","1","1","1","2","1","2","1","1","2","1","1","2","1","1","1","2","1","1","1","2","1","1","2","1","1","2","1","1","2","1","2",34,1799,4,2,1,"1","8","4","5","5","2",3,27.36
"22",0.5,0,7,0,7,0.5,0,3.5,0,7,1,0,0,3.5,1,1,3.5,3.5,0,3.5,0,"4","1","1","5","3","2","1","1","1","1","2","1","1","1","2","2","1","3","3","1","1","1","2",3,250,160,1,1967,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"2","1","3","2","2","2","1","1","1","2","1","2","1","1","1","2","1","1","1","1","1","2","1","2","1","1","2","1","1","1","2","1","1","2","1",73,1299,1,0,0,"1","2","3","4","3","1",1,15.04
"23",3.5,0,3.5,0,7,1,1,0,0,7,7,0,0,1,3.5,1,3.5,0,1,0,3.5,"4","1","2","5","3","1","2","1","2","2","1","1","1","1","1","2","2","1","1","1","1","1","1",4,240,87,1,1967,1,0,0.86,0.14,0,0.5,0.25,0,0,0.25,0,0.25,0,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"1","2","3","2","1","2","1","1","1","2","1","2","1","1","1","1","1","1","2","1","1","1","1","2","1","2","1","1","1","2","1","1","1","1","1",61,1799,1,0,0,"1","6","4","1","1","1",4,15.77
"24",3.5,14,14,0,8,0.5,0,0,0,3.5,0,1,0,3.5,1,0,3.5,3.5,3.5,3.5,0,"4","1","1","5","2","1","1","1","1","2","1","1","1","1","1","2","1","5","2","1","1","1","2",3,420,98,1,1995,0,1,0.57,0,0.43,0.67,0,0.33,0.67,0,0,0,0,0,0.33,0.67,0,0,0.33,0,0,0,0.33,0.67,0,0,0,1,"1","1","3","2","2","2","1","1","1","1","1","2","1","1","2","1","1","1","1","1","2","1","1","2","1","1","1","1","1","1","2","1","1","1","1",60,2899,2,0,0,"2","3","4","1","1","3",1,19.23
"25",7,14,14,14,7,1,0,1,1,3.5,3.5,0,0,3.5,3.5,1,3.5,3.5,0,3.5,0,"4","4","2","1","3","1","2","1","3","1","1","3","2","1","1","2","1","1","1","1","1","1","2",4,230,60,1,1989,0,0,0.75,0,0.25,0.25,0,0.5,0.25,0,0,0,0,0.75,0,0,0,0,1,0,0,0.75,0.25,0,0,0,0,1,"1","3","3","3","1","1","2","1","1","2","1","1","2","1","1","1","2","1","1","1","1","2","2","1","2","1","1","1","1","2","1","1","1","1","1",39,1299,3,1,0,"2","4","5","1","1","3",2,13.82
"26",0,7,10.5,0,3.5,0,1,1,0,14,14,0,0,0,1,0,0,3.5,3.5,0,3.5,"4","4","1","6","3","1","1","1","1","1","1","3","1","1","1","2","3","4","1","2","2","1","1",2,240,38,1,1974,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"1","2","2","2","1","2","1","1","1","1","1","2","1","1","2","1","1","1","1","1","2","1","1","2","1","2","1","1","1","2","1","1","1","1","1",70,1299,2,0,0,"2","4","6","4","3","3",2,13.32
"27",3.5,7,0,0,0.5,0,0,3.5,0,3.5,0,0,0,3.5,3.5,1,7,3.5,0,3.5,0,"4","1","2","5","3","2","1","1","1","1","1","3","1","1","1","1","3","1","1","1","1","1","2",5,230,110,2,1967,1,0,0.89,0,0.11,0.8,0.2,0,0,0,0,0,0,1,0,0.4,0,0,0.6,0,0,0,1,0,0,0,0,1,"1","3","3","3","2","2","1","1","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","2","1","1","2","1","1","2","1","1","2","1","2",35,4249,4,2,0,"2","9","3","1","1","3",2,11.58
"28",7,10.5,7,0,7,0,1,7,0,0,14,0,0,3.5,3.5,0,3.5,7,7,3.5,0,"4","1","1","2","3","1","1","1","1","1","1","3","1","1","2","2","1","2","1","1","1","1","2",5,260,87,2,1981,0,0,0.75,0,0.25,0.4,0.2,0.4,0,0.8,0,0,0,0,0,0,0,0,1,0,0,0,0.4,0.6,0,0,0,1,"1","2","3","3","2","2","1","1","1","2","1","2","1","1","2","1","1","1","1","1","2","1","2","1","2","1","1","1","2","1","1","1","1","1","1",66,2349,2,0,0,"2","4","6","4","3","3",1,23.99
"29",3.5,7,8,0,14,0,1,0,7,0,14,0,0,3.5,1,0,0,3.5,3.5,1,1,"4","2","2","5","3","1","1","1","1","2","2","2","1","1","1","2","3","4","1","1","1","1","2",5,260,107,3,1981,1,1,1,0,0,0.2,0.2,0.6,0,0.8,0,0,0,0.2,0,0,0,0,1,0,0,0,0.4,0.6,0,0,0,1,"2","1","3","3","2","2","1","1","1","2","2","1","1","1","2","1","1","1","1","1","2","1","1","2","1","2","1","1","2","1","1","1","1","1","1",58,2349,3,0,1,"2","1","3","4","3","3",1,9.71
"30",3.5,14,15,7,7,3.5,1,3.5,3.5,3.5,14,1,0,0,7,0,3.5,1,0,1,0,"1","1","2","2","2","1","1","1","2","1","2","1","2","1","2","2","2","4","1","2","2","1","1",6,250,226,2,1989,1,1,1,0,0,0.33,0.5,0.17,0,0.5,0,0.17,0,0.17,0.17,0,0.33,0,0.33,0,0,0.33,0.67,0,0,0,0,1,"2","1","3","1","2","2","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","2","2","1","2","1","1","2","1","1","1","1","1","1",48,4249,3,0,1,"2","5","3","1","1","3",1,12.31
"31",7,17.5,21,10.5,14.5,0,0,3.5,0,3.5,3.5,0,14,7,7,1,3.5,3.5,3.5,0,3.5,"1","2","2","5","3","1","1","1","3","1","1","3","1","1","1","2","1","2","2","1","1","1","2",6,250,100,2,1981,0,0,0.17,0.83,0,0.33,0.33,0.33,0,0.83,0,0.17,0,0,0,0,0,0,0.83,0,0,0.17,0.83,0,0,0,0,1,"1","1","1","1","2","2","1","1","1","2","1","2","1","1","2","1","1","1","1","1","2","1","1","2","1","1","1","1","2","1","1","1","2","1","2",53,2349,3,0,1,"2","2","4","4","1","3",1,27.72
"32",3.5,14,14,4.5,7,0,1,0,0,7,14,0,0,1,1,0,1,3.5,3.5,3.5,3.5,"1","3","2","5","3","1","2","1","3","1","1","3","1","2","1","2","2","2","1","1","1","1","2",5,255,92,1,1974,0,1,0,0.83,0.17,0.4,0,0.6,0,0.8,0,0.2,0,0,0,0,0,0,0.2,0,0.6,0,0.4,0,0,0,0,1,"2","1","3","1","2","2","1","1","1","2","1","2","1","1","1","1","1","1","2","2","1","1","1","2","1","1","1","1","2","1","1","1","1","2","1",58,2899,2,0,0,"2","4","4","4","1","3",1,38.04
"33",3.5,7,7,8,14.5,0.5,2,3.5,3.5,3.5,14,0,0,3.5,1,3.5,3.5,0,7,1,3.5,"4","3","1","5","2","1","1","1","1","2","2","2","1","1","2","2","1","5","4","1","1","1","2",9,260,230,2,1914,1,1,1,0,0,0.11,0.22,0.56,0,0.44,0,0,0.11,0.11,0.33,0,0,0,0,0.11,0.11,0,0.33,0.56,0,0,0,1,"2","2","3","2","2","2","1","1","1","2","1","1","2","1","1","2","1","1","1","1","1","2","1","1","1","1","2","1","2","1","1","1","2","1","2",54,1299,3,0,1,"2","4","2","1","2","3",3,9.2
"34",7,14,8,0,10.5,1,2,1,1,1,3.5,0,0,0,1,0,1,1,1,1,1,"4","1","2","4","3","1","1","1","3","2","2","2","1","1","2","2","3","4","5","1","1","1","2",6,280,160,3,1961,0,1,1,0,0,0,0.33,0.67,0,0.83,0,0,0,0,0.17,0,0,0,0,0,0,0.17,0.5,0.33,0,0,0,1,"2","2","3","3","2","1","1","1","2","2","2","1","1","1","1","1","2","1","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1",34,1299,4,2,0,"2","4","1","1","1","3",1,19.23
"35",7,14,14,10.5,14,7,2,1,3.5,0,3.5,0,14,3.5,3.5,0,3.5,3.5,3.5,0,0,"4","4","1","5","3","1","1","1","2","1","1","3","1","2","1","2","3","2","1","1","1","1","2",7,320,156,3,1914,0,1,1,0,0,0.14,0.43,0.43,0,0.71,0,0.14,0,0.14,0,0,0,0,0.86,0,0,0.57,0.43,0,0,0,0,1,"2","2","3","3","2","1","1","2","1","2","1","2","1","1","1","1","2","1","1","1","1","2","2","2","1","1","2","1","2","1","1","1","1","2","1",32,1799,4,2,0,"2","5","5","1","1","3",1,9.55
"36",3.5,14,14,7.5,14,2,0,1,7,7,14,0,0,7,7,7,3.5,3.5,7,0,0,"4","1","2","5","1","1","1","1","2","2","2","1","2","1","1","2","3","2","3","1","1","1","2",9,400,320,2,1871,1,1,1,0,0,0.67,0.11,0.22,0.11,0.11,0,0,0,0.78,0,0.44,0,0,0.44,0.11,0,0,0.44,0.56,0,0,0,1,"2","2","3","3","2","2","1","1","1","2","2","1","1","1","1","2","1","1","1","1","1","2","1","2","2","1","1","1","2","1","1","1","2","1","2",55,4249,3,1,0,"2","9","3","1","1","3",3,5.64
"37",3.5,7,7,4,10.5,1,1,1,1,7,7,14,14,3.5,3.5,0,3.5,3.5,1,0,1,"4","1","2","5","3","2","1","1","4","1","1","3","1","2","2","2","1","2","3","1","1","1","2",5,250,350,2,1871,1,1,1,0,0,0.6,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0.2,0.4,0.2,0,0.8,0,0,0,0,2,"2","1","3","3","2","2","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","2","1","1","2","1","1","1","2","1","1","1","2","1","2",75,817,2,0,0,"2","8","3","4","1","3",3,9.56
"38",7,1,14,8,17.5,0.5,1,1,0,0,1,0,1,3.5,3.5,0,3.5,3.5,3.5,0,3.5,"1","1","2","5","2","2","1","2","3","1","1","3","1","2","2","2","1","4","1","1","1","1","1",11,245,460,1,1914,1,1,0.36,0,0.64,0.82,0.09,0,0,0.45,0,0,0,0.09,0,0.45,0.09,0,0.45,0,0,0,0.45,0.55,0,0,0,1,"2","2","2","1","2","2","1","1","1","1","1","2","1","1","1","2","1","1","1","1","1","2","1","2","2","1","1","1","2","1","1","1","2","1","2",59,4249,4,1,1,"2","7","2","1","1","3",1,5.62
"39",7,21,21.5,10,15.5,0,0,3.5,0,0,14,0,0,3.5,7,1,0,3.5,3.5,3.5,3.5,"4","3","1","5","3","1","1","1","4","2","2","2","1","2","2","2","1","5","5","1","1","1","2",8,260,275,3,1914,0,2,1,0,0,0.63,0.13,0.25,0,0.38,0,0,0,0.5,0,0,0,0,0.38,0,0,0,0.88,0.13,0,0,0,2,"1","2","3","2","2","2","1","1","1","2","1","2","1","1","1","2","1","1","1","1","1","2","2","1","1","1","1","1","2","1","1","1","2","1","2",45,2349,6,0,3,"2","5","2","1","1","3",3,10.55
"40",3.5,7,4.5,3.5,3.5,0,3,1,3.5,1,1,0,0,1,3.5,1,0,0,0,3.5,3.5,"1","1","2","5","3","1","2","1","1","2","2","1","1","1","1","2","3","5","3","1","1","1","2",5,230,40,3,1914,1,1,0.8,0,0.2,0.2,0.4,0.2,0,0.6,0,0,0,0.4,0,0,0,0,0.2,0,0,0.6,0.2,0.2,0,0,0,2,"2","1","3","1","2","2","1","1","1","2","1","2","1","1","2","1","1","1","1","1","2","1","2","1","1","2","1","2","1","1","1","1","1","2","1",59,817,2,0,0,"2","1","1","1","2","3",3,13.54
"41",1.5,0,7,0,0,0,1,3.5,0,0,14,0,0,3.5,3.5,0,0,1,1,1,0,"4","1","1","5","3","1","2","1","2","1","1","3","1","1","2","2","3","4","3","1","1","1","1",4,280,120,1,1871,1,1,0.7,0,0.3,0.25,0.25,0.5,0.25,0.5,0,0,0,0.25,0,0.5,0.25,0,0,0,0.25,0,0.5,0,0.25,0,0,1,"2","2","3","3","2","2","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","2","2","2","1","1","2","1","2","1","1","1","2","1","2",76,1299,1,0,0,"2","8","4","4","3","1",1,16.32
"42",1.5,0,7,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"4","1","2","5","3","2","1","1","2","2","1","1","1","1","2","2","1","1","1","1","1","1","2",7,240,420,2,1871,0,1,1,0,0,0.57,0.14,0.29,0,0.71,0,0.14,0,0,0,0,0,0,0.43,0.14,0.43,0,0.57,0,0,0,0,1,"2","2","3","2","2","2","1","1","1","2","1","2","1","1","1","2","1","1","1","1","1","2","1","1","1","2","1","1","2","1","1","1","1","2","1",68,817,1,0,0,"2","6","1","4","3","1",1,7.27
"43",3.5,14,14,0,7,3.5,2,1,1,0,0,0,0,1,0,1,1,3.5,0,0,3.5,"4","1","2","5","3","1","1","1","3","2","2","2","1","1","2","2","1","4","4","1","1","1","1",6,320,240,2,1914,1,0,0.13,0.88,0,0.17,0.5,0.33,0,0.67,0,0,0,0.33,0,0.83,0,0,0.17,0,0.33,0,0.33,0.33,0,0,0,1,"1","1","3","3","2","2","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","2","2","2","2","1","1","1","2","1","1","1","1","2","1",60,4249,2,0,0,"2","4","4","4","3","3",1,12.9
"44",3.5,14,14,7,0,0,0,1,0,3.5,14,0,14,1,1,1,1,3.5,0,0,1,"4","1","2","3","3","1","2","2","3","2","1","2","1","1","2","2","1","3","4","1","1","1","2",4,250,80,2,1967,1,0,0,1,0,0,0.25,0.75,0,0.25,0,0,0.5,0.25,0,0,0,0,1,0,0,0,0.25,0.75,0,0,0,1,"1","1","3","3","2","2","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","2","2","2","2","1","1","1","2","1","1","1","2","1","2",37,1799,4,2,0,"2","5","4","1","1","3",3,30.03
"45",0.5,0,7,0,7,0,1,1,0,0,0,0,0,3.5,1,0,0,1,0,1,3.5,"4","1","2","4","3","1","1","1","3","1","1","3","1","1","1","2","3","4","3","1","1","1","1",5,300,280,2,1948,1,1,1,0,0,1,0,0,0.8,0.2,0,0,0,0,0,0.8,0,0,0,0,0,0,0.4,0.6,0,0,0,1,"2","2","3","3","2","2","1","1","1","1","1","2","1","1","1","1","1","1","2","1","1","1","1","2","1","1","2","1","1","1","1","2","2","1","2",62,4249,1,0,0,"2","8","4","4","3","1",1,14.11
